ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION,valid_ICD10_2025,valid_ICD10_2026
C6991,12.0,,,,True,True
C6992,12.0,,,,True,True
C700,9.0,,,,True,True
C701,9.0,,,,True,True
C709,9.0,,,,True,True
C710,9.0,,,,True,True
C711,9.0,,,,True,True
C712,9.0,,,,True,True
C713,9.0,,,,True,True
C714,9.0,,,,True,True
C715,9.0,,,,True,True
C716,9.0,,,,True,True
C717,9.0,,,,True,True
C718,9.0,,,,True,True
C719,9.0,,,,True,True
C720,9.0,,,,True,True
C721,9.0,,,,True,True
C7220,9.0,,,,True,True
C7221,9.0,,,,True,True
C7222,9.0,,,,True,True
C7230,9.0,,,,True,True
C7231,9.0,,,,True,True
C7232,9.0,,,,True,True
C7240,9.0,,,,True,True
C7241,9.0,,,,True,True
C7242,9.0,,,,True,True
C7250,9.0,,,,True,True
C7259,9.0,,,,True,True
C729,9.0,,,,True,True
C73,13.0,,,,True,True
C7400,9.0,,age < 18,,True,True
C7400,10.0,,age >= 18,,True,True
C7401,9.0,,age < 18,,True,True
C7401,10.0,,age >= 18,,True,True
C7402,9.0,,age < 18,,True,True
C7402,10.0,,age >= 18,,True,True
C7410,9.0,,age < 18,,True,True
C7410,10.0,,age >= 18,,True,True
C7411,9.0,,age < 18,,True,True
C7411,10.0,,age >= 18,,True,True
C7412,9.0,,age < 18,,True,True
C7412,10.0,,age >= 18,,True,True
C7490,9.0,,age < 18,,True,True
C7490,10.0,,age >= 18,,True,True
C7491,9.0,,age < 18,,True,True
C7491,10.0,,age >= 18,,True,True
C7492,9.0,,age < 18,,True,True
C7492,10.0,,age >= 18,,True,True
C750,13.0,,,,True,True
C751,9.0,,,,True,True
C752,9.0,,,,True,True
C753,9.0,,,,True,True
C754,13.0,,,,True,True
C755,13.0,,,,True,True
C758,13.0,,,,True,True
C759,13.0,,,,True,True
C760,12.0,,,,True,True
C761,12.0,,,,True,True
C762,12.0,,,,True,True
C763,12.0,,,,True,True
C7640,12.0,,,,True,True
C7641,12.0,,,,True,True
C7642,12.0,,,,True,True
C7650,12.0,,,,True,True
C7651,12.0,,,,True,True
C7652,12.0,,,,True,True
C768,12.0,,,,True,True
C770,8.0,,,,True,True
C771,8.0,,,,True,True
C772,8.0,,,,True,True
C773,8.0,,,,True,True
C774,8.0,,,,True,True
C775,8.0,,,,True,True
C778,8.0,,,,True,True
C779,8.0,,,,True,True
C7800,8.0,,,,True,True
C7801,8.0,,,,True,True
C7802,8.0,,,,True,True
C781,8.0,,,,True,True
C782,8.0,,,,True,True
C7830,8.0,,,,True,True
C7839,8.0,,,,True,True
C784,8.0,,,,True,True
C785,8.0,,,,True,True
C786,8.0,,,,True,True
C787,8.0,,,,True,True
C7880,8.0,,,,True,True
C7889,8.0,,,,True,True
C7900,8.0,,,,True,True
C7901,8.0,,,,True,True
C7902,8.0,,,,True,True
C7910,8.0,,,,True,True
C7911,8.0,,,,True,True
C7919,8.0,,,,True,True
C792,8.0,,,,True,True
C7931,8.0,,,,True,True
C7932,8.0,,,,True,True
C7940,8.0,,,,True,True
C7949,8.0,,,,True,True
C7951,8.0,,,,True,True
C7952,8.0,,,,True,True
C7960,8.0,,,,True,True
C7961,8.0,,,,True,True
C7962,8.0,,,,True,True
C7963,8.0,,,,True,True
C7970,8.0,,,,True,True
C7971,8.0,,,,True,True
C7972,8.0,,,,True,True
C7981,8.0,,,,True,True
C7982,8.0,,,,True,True
C7989,8.0,,,,True,True
C799,8.0,,,,True,True
C7A00,12.0,,,,True,True
C7A010,12.0,,,,True,True
C7A011,12.0,,,,True,True
C7A012,12.0,,,,True,True
C7A019,12.0,,,,True,True
C7A020,12.0,,,,True,True
C7A021,12.0,,,,True,True
C7A022,12.0,,,,True,True
C7A023,12.0,,,,True,True
C7A024,12.0,,,,True,True
C7A025,12.0,,,,True,True
C7A026,12.0,,,,True,True
C7A029,12.0,,,,True,True
C7A090,12.0,,,,True,True
C7A091,12.0,,,,True,True
C7A092,12.0,,,,True,True
